MPG;Cylinders;Horsepower;Weight;Acceleration;Year;Origin
11.00;8;150;4997;14.00;73;1
12.00;8;167;4906;12.50;73;1
13.00;8;170;4654;13.00;73;1
12.00;8;180;4499;12.50;73;1
18.00;6;100;2789;15.00;73;1
20.00;4;88;2279;19.00;73;2
21.00;4;72;2401;19.50;73;1
22.00;4;94;2379;16.50;73;2
18.00;3;90;2124;13.50;73;2
19.00;4;85;2310;18.50;73;1
21.00;6;107;2472;14.00;73;1
26.00;4;90;2265;15.50;73;3
15.00;8;145;4082;13.00;73;1
16.00;8;230;4278;9.50;73;1
29.00;4;49;1867;19.50;73;3
24.00;4;75;2158;15.50;73;3
20.00;4;91;2582;14.00;73;3
19.00;4;112;2868;15.50;73;3
15.00;8;150;3399;11.00;73;1
24.00;4;110;2660;14.00;73;3
20.00;6;122;2807;13.50;73;2
11.00;8;180;3664;11.00;73;1
20.00;6;95;3102;16.50;74;1
19.00;6;100;2901;16.00;74;1
15.00;6;100;3336;17.00;74;1
31.00;4;67;1950;19.00;74;2
26.00;4;80;2451;16.50;74;1
32.00;4;65;1836;21.00;74;2
25.00;4;75;2542;17.00;74;1
16.00;6;100;3781;17.00;74;1
16.00;6;110;3632;18.00;74;1
18.00;6;105;3613;16.50;74;1
16.00;8;140;4141;14.00;74;1
13.00;8;150;4699;14.50;74;1
14.00;8;150;4457;13.50;74;1
14.00;8;140;4638;16.00;74;1
14.00;8;150;4257;15.50;74;1
29.00;4;83;2219;16.50;74;3
26.00;4;67;1963;15.50;74;3
26.00;4;78;2300;14.50;74;3
31.00;4;52;1649;16.50;74;2
32.00;4;61;2003;19.00;74;2
28.00;4;75;2125;14.50;74;1
24.00;4;75;2108;15.50;74;3
26.00;4;75;2246;14.00;74;3
24.00;4;97;2489;15.00;74;2
26.00;4;93;2391;15.50;74;2
31.00;4;67;2000;16.00;74;3
19.00;6;95;3264;16.00;75;1
18.00;6;105;3459;16.00;75;1
15.00;6;72;3432;21.00;75;1
15.00;6;72;3158;19.50;75;1
16.00;8;170;4668;11.50;75;1
15.00;8;145;4440;14.00;75;1
16.00;8;150;4498;14.50;75;1
14.00;8;148;4657;13.50;75;1
17.00;6;110;3907;21.00;75;1
16.00;6;105;3897;18.50;75;1
15.00;6;110;3730;19.00;75;1
18.00;6;95;3785;19.00;75;1
21.00;6;110;3039;15.00;75;1
20.00;8;110;3221;13.50;75;1
13.00;8;129;3169;12.00;75;1
29.00;4;75;2171;16.00;75;2
23.00;4;83;2639;17.00;75;1
20.00;6;100;2914;16.00;75;1
23.00;4;78;2592;18.50;75;1
24.00;4;96;2702;13.50;75;2
25.00;4;71;2223;16.50;75;3
24.00;4;97;2545;17.00;75;2
18.00;6;97;2984;14.50;75;1
29.00;4;70;1937;14.00;75;3
19.00;6;90;3211;17.00;75;1
23.00;4;95;2694;15.00;75;3
23.00;4;88;2957;17.00;75;3
22.00;4;98;2945;14.50;75;3
25.00;4;115;2671;13.50;75;3
33.00;4;53;1795;17.50;75;2
28.00;4;86;2464;15.50;76;3
25.00;4;81;2220;16.90;76;3
25.00;4;92;2572;14.90;76;1
26.00;4;79;2255;17.70;76;1
27.00;4;83;2202;15.30;76;3
17.50;8;140;4215;13.00;76;1
16.00;8;150;4190;13.00;76;1
15.50;8;120;3962;13.90;76;1
14.50;8;152;4215;12.80;76;1
22.00;6;100;3233;15.40;76;1
22.00;6;105;3353;14.50;76;1
24.00;6;81;3012;17.60;76;1
22.50;6;90;3085;17.60;76;1
29.00;4;52;2035;22.20;76;1
24.50;4;60;2164;22.10;76;1
29.00;4;70;1937;14.20;76;3
33.00;4;53;1795;17.40;76;2
20.00;6;100;3651;17.70;76;1
18.00;6;78;3574;21.00;76;1
18.50;6;110;3645;16.20;76;1
17.50;6;95;3193;17.80;76;1
29.50;4;71;1825;12.20;76;3
32.00;4;70;1990;17.00;76;2
28.00;4;75;2155;16.40;76;2
26.50;4;72;2565;13.60;76;1
20.00;4;102;3150;15.70;76;3
13.00;8;150;3940;13.20;76;1
19.00;4;88;3270;21.90;76;3
19.00;6;108;2930;15.50;76;2
16.50;6;120;3820;16.70;76;3
16.50;8;180;4380;12.10;76;1
13.00;8;145;4055;12.00;76;1
13.00;8;130;3870;15.00;76;1
13.00;8;150;3755;14.00;76;1
31.50;4;68;2045;18.50;77;2
30.00;4;80;2155;14.80;77;1
36.00;4;58;1825;18.60;77;3
25.50;4;96;2300;15.50;77;1
33.50;4;70;1945;16.80;77;2
17.50;8;145;3880;12.50;77;1
17.00;8;110;4060;19.00;77;1
15.50;8;145;4140;13.70;77;1
15.00;8;130;4295;14.90;77;1
17.50;6;110;3520;16.40;77;1
20.50;6;105;3425;16.90;77;1
19.00;6;100;3630;17.70;77;1
18.50;6;98;3525;19.00;77;1
16.00;8;180;4220;11.10;77;1
15.50;8;170;4165;11.40;77;1
15.50;8;190;4325;12.20;77;1
16.00;8;149;4335;14.50;77;1
29.00;4;78;1940;14.50;77;3
24.50;4;88;2740;16.00;77;1
26.00;4;75;2265;18.20;77;2
25.50;4;89;2755;15.80;77;1
30.50;4;63;2051;17.00;77;1
33.50;4;83;2075;15.90;77;1
30.00;4;67;1985;16.40;77;2
30.50;4;78;2190;14.10;77;3
22.00;6;97;2815;14.50;77;2
21.50;4;110;2600;12.80;77;3
21.50;3;110;2720;13.50;77;2
43.10;4;48;1985;21.50;78;3
36.10;4;66;1800;14.40;78;1
32.80;4;52;1985;19.40;78;2
39.40;4;70;2070;18.60;78;2
36.10;4;60;1800;16.40;78;2
19.90;8;110;3365;15.50;78;1
19.40;8;140;3735;13.20;78;1
20.20;8;139;3570;12.80;78;1
19.20;6;105;3535;19.20;78;1
20.50;6;95;3155;18.20;78;1
20.20;6;85;2965;15.80;78;1
25.10;4;88;2720;15.40;78;1
20.50;6;100;3430;17.20;78;1
19.40;6;90;3210;17.20;78;1
20.60;6;105;3380;15.80;78;1
20.80;6;85;3070;16.70;78;1
18.60;6;110;3620;18.70;78;1
18.10;6;120;3410;15.10;78;1
19.20;8;145;3425;13.20;78;1
17.70;6;165;3445;13.40;78;1
18.10;8;139;3205;11.20;78;1
17.50;8;140;4080;13.70;78;1
30.00;4;68;2155;16.50;78;1
27.50;4;95;2560;14.20;78;2
27.20;4;97;2300;14.70;78;2
30.90;4;75;2230;14.50;78;1
21.10;4;95;2515;14.80;78;2
23.20;4;105;2745;16.70;78;1
23.80;4;85;2855;17.60;78;1
23.90;4;97;2405;14.90;78;2
20.30;5;103;2830;15.90;78;3
17.00;6;125;3140;13.60;78;3
21.60;4;115;2795;15.70;78;3
16.20;6;133;3410;15.80;78;3
31.50;4;71;1990;14.90;78;3
29.50;4;68;2135;16.60;78;2
21.50;6;115;3245;15.40;79;1
19.80;6;85;2990;18.20;79;1
22.30;4;88;2890;17.30;79;1
20.20;6;90;3265;18.20;79;1
20.60;6;110;3360;16.60;79;1
17.00;8;130;3840;15.40;79;1
17.60;8;129;3725;13.40;79;1
16.50;8;138;3955;13.20;79;1
18.20;8;135;3830;15.20;79;1
16.90;8;155;4360;14.90;79;1
15.50;8;142;4054;14.30;79;1
19.20;8;125;3605;15.00;79;1
18.50;8;150;3940;13.00;79;1
31.90;4;71;1925;14.00;79;3
34.10;4;65;1975;15.20;79;2
35.70;4;80;1915;14.40;79;1
27.40;4;80;2670;15.00;79;1
25.40;5;77;3530;20.10;79;3
23.00;8;125;3900;17.40;79;1
27.20;4;71;3190;24.80;79;3
23.90;8;90;3420;22.20;79;1
34.20;4;70;2200;13.20;79;1
34.50;4;70;2150;14.90;79;1
31.80;4;65;2020;19.20;79;2
37.30;4;69;2130;14.70;79;3
28.40;4;90;2670;16.00;79;1
28.80;6;115;2595;11.30;79;1
26.80;6;115;2700;12.90;79;1
33.50;4;90;2556;13.20;79;1
41.50;4;76;2144;14.70;80;3
38.10;4;60;1968;18.80;80;2
32.10;4;70;2120;15.50;80;1
37.20;4;65;2019;16.40;80;2
28.00;4;90;2678;16.50;80;1
26.40;4;88;2870;18.10;80;1
24.30;4;90;3003;20.10;80;1
19.10;6;90;3381;18.70;80;1
34.30;4;78;2188;15.80;80;3
29.80;4;90;2711;15.50;80;2
31.30;4;75;2542;17.50;80;2
37.00;4;92;2434;15.00;80;2
32.20;4;75;2265;15.20;80;2
46.60;4;65;2110;17.90;80;2
27.90;4;105;2800;14.40;80;1
40.80;4;65;2110;19.20;80;2
44.30;4;48;2085;21.70;80;3
43.40;4;48;2335;23.70;80;3
36.40;5;67;2950;19.90;80;3
30.00;4;67;3250;21.80;80;3
44.60;4;67;1850;13.80;80;2
33.80;4;67;2145;18.00;80;2
29.80;4;62;1845;15.30;80;3
32.70;6;132;2910;11.40;80;2
23.70;3;100;2420;12.50;80;2
35.00;4;88;2500;15.10;80;3
32.40;4;72;2290;17.00;80;2
27.20;4;84;2490;15.70;81;1
26.60;4;84;2635;16.40;81;1
25.80;4;92;2620;14.40;81;1
23.50;6;110;2725;12.60;81;1
30.00;4;84;2385;12.90;81;1
39.10;4;58;1755;16.90;81;2
39.00;4;64;1875;16.40;81;1
35.10;4;60;1760;16.10;81;2
32.30;4;67;2065;17.80;81;2
37.00;4;65;1975;19.40;81;2
37.70;4;62;2050;17.30;81;2
34.10;4;68;1985;16.00;81;2
34.70;4;63;2215;14.90;81;1
34.40;4;65;2045;16.20;81;1
29.90;4;65;2380;20.70;81;1
33.00;4;74;2190;14.20;81;3
33.70;4;75;2210;14.40;81;2
32.40;4;75;2350;16.80;81;2
32.90;4;100;2615;14.80;81;2
31.60;4;74;2635;18.30;81;2
28.10;4;80;3230;20.40;81;3
30.70;6;76;3160;19.60;81;3
25.40;6;116;2900;12.60;81;2
24.20;6;120;2930;13.80;81;2
22.40;6;110;3415;15.80;81;1
26.60;8;105;3725;19.00;81;1
20.20;6;88;3060;17.10;81;1
17.60;6;85;3465;16.60;81;1
28.00;4;88;2605;19.60;82;1
27.00;4;88;2640;18.60;82;1
34.00;4;88;2395;18.00;82;1
31.00;4;85;2575;16.20;82;1
29.00;4;84;2525;16.00;82;1
27.00;4;90;2735;18.00;82;1
24.00;4;92;2865;16.40;82;1
36.00;4;74;1980;15.30;82;3
37.00;4;68;2025;18.20;82;2
31.00;4;68;1970;17.60;82;2
38.00;4;63;2125;14.70;82;1
36.00;4;70;2125;17.30;82;1
36.00;4;88;2160;14.50;82;2
36.00;4;75;2205;14.50;82;2
34.00;4;70;2245;16.90;82;2
38.00;4;67;1965;15.00;82;2
32.00;4;67;1965;15.70;82;2
38.00;4;67;1995;16.20;82;2
25.00;6;110;2945;16.40;82;1
38.00;6;85;3015;17.00;82;1
26.00;4;92;2585;14.50;82;1
22.00;6;112;2835;14.70;82;1
32.00;4;96;2665;13.90;82;2
36.00;4;84;2370;13.00;82;1
27.00;4;90;2950;17.30;82;1
27.00;4;86;2790;15.60;82;1
44.00;4;52;2130;24.60;82;3
32.00;4;84;2295;11.60;82;1
28.00;4;79;2625;18.60;82;1
31.00;4;82;2720;19.40;82;1
